,test_location,test_f1,test_f1_macro,test_accuracy,test_precision,test_recall,test_auroc,best_n_estimators,best_max_depth,best_min_samples_leaf,train_f1,train_f1_macro,train_accuracy,f1_gap,f1_macro_gap,accuracy_gap,AWEIp95
0,Hartbeespoort,0.981,0.9810660377358491,0.9810662680617838,0.9829659318637275,0.9790419161676647,0.9810632466410463,100,5,1,0.9605198107210962,0.959646290787202,0.9596651995093441,-0.020480189278903826,-0.021419746948647123,-0.021401068552439617,True
1,Inle,0.9608826479438315,0.9605838901633618,0.9605861546235472,0.9628140703517588,0.958958958958959,0.9606019284590712,100,10,10,0.9746799431009957,0.9743605344788921,0.974364513573846,0.013797295157164213,0.013776644315530384,0.013778358950298775,True
2,Mula,0.8940568475452196,0.9006273373081463,0.9010617760617761,0.9281115879828327,0.8624127617148555,0.8998686820735177,200,20,1,0.9997851772287862,0.9997824807086455,0.9997825141365811,0.1057283296835666,0.09915514340049925,0.09872073807480508,True
3,RawaPening,0.9597673291323315,0.9585029329845068,0.9585414585414586,0.9330819981149858,0.9880239520958084,0.9585119760479043,200,20,1,0.9992843852869615,0.9992786620342035,0.9992787074437391,0.03951705615462997,0.04077572904969662,0.04073724890228059,True
4,Rodman,0.9568075117370892,0.9512490923502448,0.9518828451882845,0.9188458070333634,0.9980411361410382,0.9485155175654686,500,20,1,0.9993541442411195,0.9993550224533444,0.9993550236491329,0.042546632504030235,0.0481059301030996,0.04747217846084839,True
5,Valsequillo,0.9314472252448314,0.9333827501994177,0.9334389857369255,0.9694224235560589,0.8963350785340314,0.9337752151731991,200,10,5,0.9810225180569324,0.9808179719914292,0.9808201531525084,0.049575292812101046,0.04743522179201143,0.04738116741558285,True
6,Vembanad,0.9367469879518072,0.937061366739323,0.9370629370629371,0.9424242424242424,0.9311377245508982,0.9370688622754489,100,10,10,0.9758529809815514,0.9755442858008787,0.9755481823427582,0.03910599302974416,0.038482919061555654,0.03848524527982111,True
7,Winam,0.906832298136646,0.9022350467061182,0.9024512256128064,0.868252516010979,0.949,0.9024279279279279,100,10,1,0.9859936011375755,0.9857907138031137,0.9857936107305113,0.0791613030009295,0.08355566709699547,0.08334238511770486,True
