,test_location,test_f1,test_f1_macro,test_accuracy,test_precision,test_recall,test_auroc,best_n_estimators,best_max_depth,best_min_samples_leaf,train_f1,train_f1_macro,train_accuracy,f1_gap,f1_macro_gap,accuracy_gap,AWEIp95
0,Hartbeespoort,0.9521384928716904,0.9536882940548927,0.9537401574803149,0.9719334719334719,0.9331337325349301,0.9534600701509602,200,5,1,0.9332126192631799,0.9322458653463874,0.9322596595323868,-0.0189258736085105,-0.021442428708505323,-0.021480497947928168,False
1,Inle,0.9123486682808717,0.9094043083006426,0.9095,0.8845070422535212,0.942,0.9095,200,5,1,0.9386311628874557,0.9376110604148535,0.9376277397984354,0.02628249460658405,0.028206752114210976,0.028127739798435414,False
2,Mula,0.8378672470076169,0.8543195732002525,0.8561776061776062,0.9221556886227545,0.7676969092721835,0.8534462095472236,100,10,1,0.972919605077574,0.9727982115326678,0.9727987532761918,0.13505235806995708,0.11847863833241523,0.11662114709858562,False
3,RawaPening,0.9452191235059761,0.9450544515325472,0.945054945054945,0.9433399602385686,0.9471057884231537,0.9450528942115768,500,10,5,0.9584677985126981,0.9582707264518164,0.9582716571509128,0.013248675006722,0.013216274919269244,0.013216712095967753,False
4,Rodman,0.8823273990447242,0.8650828460692459,0.8672869735553379,0.7931303669008587,0.9941291585127201,0.8671626184720463,200,5,1,0.9411846884604638,0.9404735861818702,0.9404820810065738,0.05885728941573953,0.07539074011262425,0.07319510745123592,False
5,Valsequillo,0.945721271393643,0.9455879084240942,0.9455882352941176,0.9434146341463414,0.9480392156862745,0.9455882352941176,100,5,1,0.934372148522496,0.933914420998135,0.9339175913492119,-0.011349122871147088,-0.011673487425959195,-0.01167064394490569,False
6,Vembanad,0.9271457085828343,0.9270728542914172,0.9270729270729271,0.9271457085828343,0.9271457085828343,0.9270728542914172,200,5,5,0.935082968825939,0.9340793127717126,0.9340945936420667,0.007937260243104705,0.007006458480295463,0.007021666569139606,False
7,Winam,0.8621340887629839,0.8534074699134069,0.8539269634817409,0.8166368515205724,0.913,0.8538973973973973,500,5,5,0.9422178852721823,0.9415714239301837,0.9415785764622974,0.08008379650919839,0.08816395401677679,0.08765161298055646,False
