,test_region,val_region,run_ID,patch_size,loop,epoch,train_loss,val_loss,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc
0,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,1,0.32486130701969146,1.0758310516130445,0.7022526860237122,0.636798083782196,0.8174846768379211,0.5215263962745667,0.7658742666244507,0.8650433421134949,0.860791802406311,0.8840503692626953,0.838725745677948,0.9347804188728333
1,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,2,0.22612025073021835,0.6824699662457951,0.6885406374931335,0.552742600440979,0.9825000166893005,0.3845401108264923,0.8447805643081665,0.9195212721824646,0.9184578061103821,0.925969660282135,0.9110668897628784,0.9688812494277954
2,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,3,0.1822639399196213,0.5888400104090236,0.8207639455795288,0.820588231086731,0.8222004175186157,0.8189823627471924,0.8656737804412842,0.9370202422142029,0.9364113807678223,0.9407233595848083,0.9321386814117432,0.9794694185256958
3,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,4,0.16667793696693187,1.017317366354846,0.6390793323516846,0.45285820960998535,0.9384615421295166,0.29843443632125854,0.8925338983535767,0.9460998773574829,0.9457595944404602,0.9469394683837891,0.9445827007293701,0.982160210609436
4,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,5,0.15601509113696505,0.3722194217211119,0.8966699242591858,0.8970229625701904,0.894839346408844,0.8992172479629517,0.9298228025436401,0.9498968124389648,0.9494461417198181,0.953177273273468,0.9457441568374634,0.9834973812103271
5,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,6,0.1279230978805764,0.510509390788961,0.7727717757225037,0.7107232213020325,0.9793814420700073,0.557729959487915,0.9644191265106201,0.9595542550086975,0.95932936668396,0.9598073363304138,0.9588518142700195,0.9884446263313293
6,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,7,0.13732049204362998,0.3425553321663243,0.8731635808944702,0.865174412727356,0.9243603944778442,0.8131115436553955,0.9464410543441772,0.9565827250480652,0.9562031626701355,0.959719181060791,0.9527127742767334,0.9871581792831421
7,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,8,0.12833788803341564,0.386242459499871,0.8300685882568359,0.8096544146537781,0.9213483333587646,0.7221134901046753,0.95647132396698,0.9587288498878479,0.9584924578666687,0.9591294527053833,0.957856297492981,0.9886776208877563
8,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,9,0.12731658215494232,0.42407678749255406,0.8751224279403687,0.8751835823059082,0.8756121397018433,0.8747553825378418,0.9360908269882202,0.9584811925888062,0.9582746028900146,0.9581950902938843,0.9583540558815002,0.9887176752090454
9,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,10,0.12213280086816464,0.4966576619841793,0.8197845220565796,0.8012958765029907,0.8939759135246277,0.7260273694992065,0.9378726482391357,0.9610400199890137,0.9607908129692078,0.9620695114135742,0.9595155119895935,0.9892832040786743
10,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,11,0.1123241199179715,0.4403087962765418,0.8315377235412598,0.8054298758506775,0.9544236063957214,0.6966732144355774,0.9205143451690674,0.9648369550704956,0.9646238088607788,0.9655860066413879,0.9636635184288025,0.9906071424484253
11,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,12,0.11722674101984702,0.6886693649614243,0.7100881338119507,0.6005398035049438,0.967391312122345,0.4354207515716553,0.958673894405365,0.9635162949562073,0.963392436504364,0.9617992639541626,0.9649908542633057,0.9899808764457703
12,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,13,0.11403663692226403,0.3108550004522434,0.8981390595436096,0.9008579850196838,0.8782528042793274,0.9246575236320496,0.9330475330352783,0.9633511900901794,0.963098406791687,0.964862585067749,0.961340606212616,0.990950345993042
13,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,14,0.10859650673942038,0.2883733033579314,0.872184157371521,0.86080002784729,0.9460726976394653,0.7896282076835632,0.9695627689361572,0.965910017490387,0.965757429599762,0.9651972055435181,0.9663182497024536,0.9913100600242615
14,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,15,0.11025497890052548,0.276827282860627,0.8917727470397949,0.8864920139312744,0.9329729676246643,0.8444226980209351,0.9605080485343933,0.9653322100639343,0.9652087688446045,0.9637717008590698,0.9666500687599182,0.9912047386169434
15,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,16,0.10383182054234102,0.2735104826621047,0.8834475874900818,0.8766839504241943,0.9317180514335632,0.8277886509895325,0.9635154008865356,0.9692942500114441,0.969149112701416,0.9688277244567871,0.969470739364624,0.9916770458221436
16,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,17,0.10033324271858698,0.25340482043823,0.9314397573471069,0.9312376976013184,0.9349112510681152,0.927592933177948,0.9640027284622192,0.9684688448905945,0.9683513045310974,0.9670693278312683,0.9696366190910339,0.9930107593536377
17,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,18,0.10193839517909783,0.4392672684207836,0.8310480117797852,0.802744448184967,0.9656121134757996,0.6868884563446045,0.8947584629058838,0.969376802444458,0.9692397117614746,0.9686775207519531,0.9698025584220886,0.9922854900360107
18,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,19,0.10338086648588578,0.3074519854626389,0.8682664036750793,0.8586442470550537,0.9273552894592285,0.7994129061698914,0.9595986604690552,0.965910017490387,0.9657971262931824,0.9641203880310059,0.9674796462059021,0.9923880100250244
19,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,20,0.09964223902271249,0.2736684858186004,0.8834475874900818,0.8757829070091248,0.9384787678718567,0.8209393620491028,0.9686226844787598,0.9684688448905945,0.9683669805526733,0.9666060209274292,0.9701343774795532,0.9932695031166077
20,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,21,0.0963034414732771,0.2623513475366951,0.8898138999938965,0.8840803503990173,0.9336234927177429,0.839530348777771,0.9673064947128296,0.9707800149917603,0.9706953763961792,0.9686105847358704,0.9727891087532043,0.9931297302246094
21,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,22,0.09489547888688002,0.34482594051860804,0.848188042640686,0.8318871855735779,0.9330900311470032,0.7504892349243164,0.9626750946044922,0.9701197147369385,0.9700480103492737,0.9674863815307617,0.9726231694221497,0.993257999420166
