,run_ID,patch_size,test_region,val_region,train_loss,val_loss,epoch_stopped,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,dropout,lr,weight_decay,batch_size
0,T-Har_V-Rod_15px_2026-07-22,15,Hartbeespoort,Rodman,0.10033324271858698,0.25340482043823,17,0.9314397573471069,0.9312376976013184,0.9349112510681152,0.927592933177948,0.9640027284622192,0.9684688448905945,0.9683513045310974,0.9670693278312683,0.9696366190910339,0.9930107593536377,0.31842848360700604,0.006451184267959454,0.009583029730571667,64
1,T-Har_V-Mul_15px_2026-07-22,15,Hartbeespoort,Mula,0.1378453542374731,0.2458195091444553,6,0.9140926599502563,0.908717930316925,0.9355860352516174,0.8833499550819397,0.9608564376831055,0.9550682902336121,0.9549489617347717,0.958048939704895,0.951869010925293,0.9874318838119507,0.31842848360700604,0.006451184267959454,0.009583029730571667,64
2,T-Har_V-Inl_15px_2026-07-22,15,Hartbeespoort,Inle,0.09122714222806197,0.05977951668202877,49,0.9850000143051147,0.9850746393203735,0.9801980257034302,0.9900000095367432,0.9975410103797913,0.9717857837677002,0.9717579483985901,0.9680117964744568,0.975533127784729,0.9939945340156555,0.31842848360700604,0.006451184267959454,0.009583029730571667,64
3,T-Har_V-Vem_15px_2026-07-22,15,Hartbeespoort,Vembanad,0.1069654942466025,0.09343257177617405,23,0.9715284705162048,0.9715426564216614,0.9720279574394226,0.9710578918457031,0.9933573007583618,0.9638831615447998,0.9637758731842041,0.9617918133735657,0.9657681584358215,0.992313027381897,0.31842848360700604,0.006451184267959454,0.009583029730571667,64
4,T-Har_V-Val_15px_2026-07-22,15,Hartbeespoort,Valsequillo,0.13896036910530637,0.16199427673629685,6,0.9465686082839966,0.9474192261695862,0.9325736165046692,0.9627450704574585,0.988788902759552,0.955021858215332,0.9548803567886353,0.9532231688499451,0.9565433859825134,0.9868811368942261,0.31842848360700604,0.006451184267959454,0.009583029730571667,64
5,T-Har_V-Raw_15px_2026-07-22,15,Hartbeespoort,RawaPening,0.10747516359543909,0.09317075463754314,18,0.9715284705162048,0.9721271395683289,0.9530201554298401,0.9920159578323364,0.9961128234863281,0.9644590616226196,0.9643505811691284,0.9624444246292114,0.9662642478942871,0.991916298866272,0.31842848360700604,0.006451184267959454,0.009583029730571667,64
6,T-Har_V-Win_15px_2026-07-22,15,Hartbeespoort,Winam,0.09566627168296532,0.1594451023051408,39,0.9584792256355286,0.9591736197471619,0.9438528418540955,0.9750000238418579,0.9763193130493164,0.969814121723175,0.9697369337081909,0.9674234986305237,0.9720615148544312,0.9935123920440674,0.31842848360700604,0.006451184267959454,0.009583029730571667,64
7,T-Rod_V-Har_15px_2026-07-22,15,Rodman,Hartbeespoort,0.08721959630640096,0.20391938797249567,6,0.8946850299835205,0.8826754093170166,0.9793187379837036,0.8033931851387024,0.9913842678070068,0.971275269985199,0.9711586236953735,0.9701937437057495,0.9721254110336304,0.9943944811820984,0.29701407711980565,0.00029030701473594804,5.204950412995212e-06,64
8,T-Rod_V-Mul_15px_2026-07-22,15,Rodman,Mula,0.04662060422217377,0.228539627045393,13,0.9126448035240173,0.9079816937446594,0.9263485670089722,0.8903290033340454,0.9699227809906006,0.9855072498321533,0.9854879975318909,0.9849162697792053,0.986060380935669,0.9983059167861938,0.29701407711980565,0.00029030701473594804,5.204950412995212e-06,64
9,T-Rod_V-Inl_15px_2026-07-22,15,Rodman,Inle,0.056208693704909725,0.07351638029329478,17,0.9725000262260437,0.9727857708930969,0.9627816081047058,0.9829999804496765,0.9966509342193604,0.9811475872993469,0.9810383319854736,0.9794973731040955,0.9825841784477234,0.9978713989257812,0.29701407711980565,0.00029030701473594804,5.204950412995212e-06,64
