,test_location,f1,f1_macro,accuracy,best_n_estimators,best_max_depth,best_min_samples_leaf,train_f1,train_f1_macro,train_accuracy,f1_gap,f1_macro_gap,accuracy_gap
0,Hartbeespoort,0.9519427402862985,0.9536753549628836,0.9537401574803149,200,5,10,0.9352304098534721,0.9345755573496435,0.9345821119611067,-0.016712330432826494,-0.0190997976132401,-0.01915804551920819
1,Inle,0.9261393399685699,0.9228069629597275,0.9229508196721311,100,5,10,0.9381234740146495,0.9374801661179136,0.9374867855380928,0.011984134046079564,0.014673203158186099,0.01453596586596173
2,Mula,0.8928939237899073,0.8992171707959528,0.8996138996138996,500,5,1,0.9422994728593816,0.9419205216490903,0.9419229941922994,0.049405549069474364,0.04270335085313759,0.04230909457839982
3,RawaPening,0.9451097804391217,0.9450548902195608,0.945054945054945,200,5,5,0.9352200810637844,0.935006790943459,0.9350074909039024,-0.009889699375337346,-0.01004809927610184,-0.010047454151042579
4,Rodman,0.8946672542970472,0.8814934067628486,0.8829578844270323,200,20,10,0.9625622775800712,0.9623657187670207,0.9623667453673893,0.06789502328302399,0.08087231200417211,0.07940886094035704
5,Valsequillo,0.9419354838709677,0.9426384441146607,0.9426470588235294,500,5,1,0.9359156935346056,0.935616320247251,0.9356177122827097,-0.00601979033636213,-0.007022123867409635,-0.007029346540819659
6,Vembanad,0.9263895843765648,0.9265729685709432,0.9265734265734266,200,5,5,0.9375219621898939,0.9365625022829223,0.936577013626311,0.011132377813329097,0.009989533711979082,0.0100035870528844
7,Winam,0.8560677328316086,0.8463030971850352,0.8469234617308654,100,5,1,0.9411010611779788,0.9410127064586944,0.9410128388017118,0.08503332834637012,0.09470960927365923,0.09408937707084641
