,S2_img_id,S2_time,cloud_perc,date,location,S1_img_id,S1_time
41,COPERNICUS/S2_SR_HARMONIZED/20200403T050649_20200403T052351_T43PFL,1585891578398,8.23604,2020-04-03,Vembanad,,
42,COPERNICUS/S2_SR_HARMONIZED/20200408T050651_20200408T052445_T43PFL,1586323578776,23.895219,2020-04-08,Vembanad,,
43,COPERNICUS/S2_SR_HARMONIZED/20200413T050649_20200413T052509_T43PFL,1586755577219,13.205193,2020-04-13,Vembanad,,
44,COPERNICUS/S2_SR_HARMONIZED/20200503T050649_20200503T052133_T43PFL,1588483577967,17.546801,2020-05-03,Vembanad,,
45,COPERNICUS/S2_SR_HARMONIZED/20200727T050701_20200727T051233_T43PFL,1595827586826,18.889993,2020-07-27,Vembanad,,
46,COPERNICUS/S2_SR_HARMONIZED/20201005T050701_20201005T051738_T43PFL,1601875587032,10.267678,2020-10-05,Vembanad,,
47,COPERNICUS/S2_SR_HARMONIZED/20201030T050939_20201030T052139_T43PFL,1604035584152,17.031142,2020-10-30,Vembanad,,
48,COPERNICUS/S2_SR_HARMONIZED/20201104T051011_20201104T051559_T43PFL,1604467586036,17.133477,2020-11-04,Vembanad,,
49,COPERNICUS/S2_SR_HARMONIZED/20201109T051029_20201109T052134_T43PFL,1604899582731,1.6097,2020-11-09,Vembanad,,
50,COPERNICUS/S2_SR_HARMONIZED/20201129T051149_20201129T051535_T43PFL,1606627580856,4.179405,2020-11-29,Vembanad,,
51,COPERNICUS/S2_SR_HARMONIZED/20201209T051209_20201209T051421_T43PFL,1607491578895,2.873777,2020-12-09,Vembanad,,
52,COPERNICUS/S2_SR_HARMONIZED/20201214T051221_20201214T052347_T43PFL,1607923578415,2.850454,2020-12-14,Vembanad,COPERNICUS/S1_GRD/S1B_IW_GRDH_1SDV_20201214T004031_20201214T004105_024691_02EFBD_DF3A,1607906431000.0
53,COPERNICUS/S2_SR_HARMONIZED/20201224T051221_20201224T051224_T43PFL,1608787580350,1.036228,2020-12-24,Vembanad,,
54,COPERNICUS/S2_SR_HARMONIZED/20201229T051219_20201229T052415_T43PFL,1609219579085,24.196354,2020-12-29,Vembanad,,
55,COPERNICUS/S2_SR_HARMONIZED/20210103T051221_20210103T052419_T43PFL,1609651581561,27.073226,2021-01-03,Vembanad,,
56,COPERNICUS/S2_SR_HARMONIZED/20210118T051149_20210118T051925_T43PFL,1610947581029,3.355869,2021-01-18,Vembanad,,
57,COPERNICUS/S2_SR_HARMONIZED/20210128T051049_20210128T051756_T43PFL,1611811581037,7.306581,2021-01-28,Vembanad,,
58,COPERNICUS/S2_SR_HARMONIZED/20210202T051031_20210202T052158_T43PFL,1612243581098,3.329002,2021-02-02,Vembanad,,
59,COPERNICUS/S2_SR_HARMONIZED/20210207T050959_20210207T052558_T43PFL,1612675580323,0.001003,2021-02-07,Vembanad,,
60,COPERNICUS/S2_SR_HARMONIZED/20210212T050931_20210212T051356_T43PFL,1613107579848,0.107314,2021-02-12,Vembanad,,
61,COPERNICUS/S2_SR_HARMONIZED/20210217T050849_20210217T052434_T43PFL,1613539579024,11.365036,2021-02-17,Vembanad,,
