system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
5_1735_0,421,192,441,522,302,577,1113,1144,1158,1034,3,floating_plants,VE0086_20230103,9.662301005884776,1,Vembanad,76.40401859582433,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1736_0,436,191,417,488,317,541,1088,1245,892,1334,3,floating_plants,VE0087_20230103,9.6645326689027,1,Vembanad,76.40455490832476,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1737_0,443,215,501,622,373,619,1181,1265,1490,1363,3,floating_plants,VE0088_20230103,9.667229683005461,1,Vembanad,76.39525453840297,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1738_0,278,137,486,527,325,462,703,703,782,721,3,floating_plants,VE0089_20230103,9.667716200830716,1,Vembanad,76.3949005721527,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1739_0,311,154,480,585,345,487,1003,1026,1272,965,3,floating_plants,VE0090_20230103,9.668509434906214,1,Vembanad,76.39457878465241,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1740_0,294,142,488,546,321,499,816,906,946,886,3,floating_plants,VE0091_20230103,9.665738395721995,1,Vembanad,76.39392448340186,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1741_0,189,99,436,493,292,357,590,572,858,559,3,floating_plants,VE0092_20230103,9.671491978647492,1,Vembanad,76.40372886811572,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1742_0,468,232,470,629,369,644,1245,1334,2014,1433,3,floating_plants,VE0093_20230103,9.670677598860905,1,Vembanad,76.4049945656168,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1743_0,326,164,466,632,373,526,851,859,1630,963,3,floating_plants,VE0094_20230103,9.673723580930536,1,Vembanad,76.39296923167103,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1744_0,1509,636,556,838,449,1286,3339,3784,3864,3973,3,floating_plants,VE0095_20230103,9.671121806291554,1,Vembanad,76.39210040283425,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1745_0,1644,676,538,852,463,1307,3656,4089,4108,4316,3,floating_plants,VE0096_20230103,9.664405750266562,1,Vembanad,76.39274448987278,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1746_0,1621,669,562,882,452,1334,3568,4052,4068,4287,3,floating_plants,VE0097_20230103,9.666499904786253,1,Vembanad,76.39301264612303,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1747_0,1619,663,570,869,471,1333,3472,3899,3960,4167,3,floating_plants,VE0098_20230103,9.669292090531801,1,Vembanad,76.3926372273727,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1748_0,1028,465,513,751,436,977,2268,2551,2878,2659,3,floating_plants,VE0099_20230103,9.6750879182557,1,Vembanad,76.39860115943841,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1749_0,325,149,459,501,314,483,840,936,808,877,3,floating_plants,VE0100_20230103,9.676547435504212,1,Vembanad,76.39790395318784,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1750_0,271,124,434,495,306,427,689,779,786,697,3,floating_plants,VE0101_20230103,9.680460602864708,1,Vembanad,76.39262571496336,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1751_0,1494,597,418,622,362,968,2542,3042,3112,3361,1,LEV,VE0102_20230103,9.648900141363047,0,Vembanad,76.40431403991577,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1752_0,1524,664,452,614,380,956,2438,2877,3012,3122,1,LEV,VE0103_20230103,9.656177078636729,0,Vembanad,76.40843291991924,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
5_1753_0,1644,850,426,568,370,869,2216,2710,2966,2955,1,LEV,VE0104_20230103,9.669376702981396,0,Vembanad,76.41186531992219,2023-01-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
