system:index,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,class_int,class_label,label_id,latitude,lc,location,longitude,obs_date,.geo
0_25_0,1263,600,471,922,537,1723,3731,4419,4216,4568,3,floating_plants,RO0026_20241024,29.516791942378536,1,Rodman,-81.85772951177381,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_26_0,716,382,437,866,518,1183,2418,2837,4052,2837,3,floating_plants,RO0027_20241024,29.516409151142827,1,Rodman,-81.85681778052304,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_27_0,1239,593,577,1172,692,1643,3641,4332,4672,4126,3,floating_plants,RO0028_20241024,29.514373797817623,1,Rodman,-81.85603476427238,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_28_0,1475,699,531,1144,678,1954,4260,4812,5000,5115,3,floating_plants,RO0029_20241024,29.514420480691978,1,Rodman,-81.85687141177307,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_29_0,1297,605,547,1104,648,1836,3860,4258,4424,4563,3,floating_plants,RO0030_20241024,29.515148730743984,1,Rodman,-81.85753643927364,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_30_0,1406,664,528,1136,672,1891,4027,4600,4752,4847,3,floating_plants,RO0031_20241024,29.51480327944952,1,Rodman,-81.8582014667742,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_31_0,1355,628,536,1132,660,1906,3871,4381,4484,4558,3,floating_plants,RO0032_20241024,29.515624891406244,1,Rodman,-81.85892012552482,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_32_0,1392,655,548,1172,682,1910,4004,4539,4652,4735,3,floating_plants,RO0033_20241024,29.515503517332537,1,Rodman,-81.8598533092756,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_33_0,1460,677,564,1166,658,1865,4057,4698,4840,4919,3,floating_plants,RO0034_20241024,29.515307451213655,1,Rodman,-81.86081867177643,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_34_0,418,181,333,730,349,678,1155,1608,3632,1823,3,floating_plants,RO0035_20241024,29.516857296835045,1,Rodman,-81.86047543177614,2024-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
