lc,location,0,0,0,1,0,total
class_label,,LEV,open_water,surface_algae,floating_plants,negative_total,
0,Hartbeespoort,509,440,81,1002,1030,2032
1,Inle,500,500,0,1000,1000,2000
2,Mula,576,493,0,1003,1069,2072
3,RawaPening,510,490,0,1002,1000,2002
4,Rodman,521,499,0,1022,1020,2042
5,Valsequillo,482,505,33,1020,1020,2040
6,Vembanad,500,500,0,1002,1000,2002
7,Winam,289,280,430,1000,999,1999
