run_ID,patch_size,test_region,val_region,train_loss,val_loss,epoch_stopped,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,dropout,lr,weight_decay,batch_size,AWEIp95
T-Har_V-Rod_15px_2026-07-21,15,Hartbeespoort,Rodman,0.1315841375576087,0.3006621422893737,14,0.9020568132400512,0.9060150384902954,0.8716093897819519,0.9432485103607178,0.9473667740821838,0.9535287022590636,0.9534672498703004,0.9499341249465942,0.9570267200469972,0.9882414937019348,0.1064528952258406,0.0038652006268875,0.0085387911144171,64,False
T-Har_V-Mul_15px_2026-07-21,15,Hartbeespoort,Mula,0.143062597678733,0.3174652400854471,8,0.8711389899253845,0.8620154857635498,0.8948497772216797,0.8315054774284363,0.9511064291000366,0.9501861929893494,0.950590968132019,0.9434669017791748,0.9578233361244202,0.9866188168525696,0.1064528952258406,0.0038652006268875,0.0085387911144171,64,False
T-Har_V-Inl_15px_2026-07-21,15,Hartbeespoort,Inle,0.1030170618654268,0.0911329877004027,29,0.972000002861023,0.9720559120178224,0.9701195359230042,0.9739999771118164,0.991847038269043,0.9634778499603271,0.9635048508644104,0.9581494331359864,0.9689204692840576,0.9930812120437622,0.1064528952258406,0.0038652006268875,0.0085387911144171,64,False
T-Har_V-Vem_15px_2026-07-21,15,Hartbeespoort,Vembanad,0.1253420435207854,0.1020034161748943,19,0.969530463218689,0.9696668386459352,0.966303288936615,0.9730538725852966,0.9934271574020386,0.9534348249435424,0.9535608887672424,0.9462628364562988,0.9609723687171936,0.9900827407836914,0.1064528952258406,0.0038652006268875,0.0085387911144171,64,False
T-Har_V-Val_15px_2026-07-21,15,Hartbeespoort,Valsequillo,0.1281044800478583,0.1453908559154061,17,0.9480392336845398,0.9478346705436708,0.9515810012817384,0.9441176652908324,0.9863831400871276,0.9551869034767152,0.95523864030838,0.9495247602462769,0.9610217213630676,0.9894624948501588,0.1064528952258406,0.0038652006268875,0.0085387911144171,64,False
T-Har_V-Raw_15px_2026-07-21,15,Hartbeespoort,RawaPening,0.1200890802426232,0.1244850309638233,19,0.9590409398078918,0.9592039585113524,0.9563491940498352,0.9620758295059204,0.9887166023254396,0.9568079113960266,0.956786572933197,0.9524745941162108,0.9611377716064452,0.9907479286193848,0.1064528952258406,0.0038652006268875,0.0085387911144171,64,False
T-Har_V-Win_15px_2026-07-21,15,Hartbeespoort,Winam,0.1383057137224152,0.2806081683675443,12,0.8934467434883118,0.8942928314208984,0.88768470287323,0.9010000228881836,0.9487076997756958,0.9511432647705078,0.9512875080108644,0.9438567757606506,0.9588361978530884,0.9874435663223268,0.1064528952258406,0.0038652006268875,0.0085387911144171,64,False
T-Rod_V-Har_15px_2026-07-21,15,Rodman,Hartbeespoort,0.1108150075698287,0.1634282602041255,9,0.9453740119934082,0.943911075592041,0.9559876918792723,0.9321357011795044,0.9819602966308594,0.960297167301178,0.9602051973342896,0.9575907588005066,0.9628339409828186,0.9915532469749452,0.1064534727802703,0.0002414098840062,2.9319452079141204e-05,64,False
T-Rod_V-Mul_15px_2026-07-21,15,Rodman,Mula,0.0775839837799407,0.3479593805249593,10,0.8542470932006836,0.8386752009391785,0.9033371806144714,0.7826520204544067,0.9435827732086182,0.9733333587646484,0.973357617855072,0.9706270694732666,0.9761035442352296,0.9954792261123656,0.1064534727802703,0.0002414098840062,2.9319452079141204e-05,64,False
T-Rod_V-Inl_15px_2026-07-21,15,Rodman,Inle,0.0873161867779842,0.1203524407222867,16,0.9495000243186952,0.9502708315849304,0.9359844923019408,0.9649999737739564,0.9917210340499878,0.9684695601463318,0.9684435725212096,0.9621807336807252,0.9747885465621948,0.9948188662528992,0.1064534727802703,0.0002414098840062,2.9319452079141204e-05,64,False
