run_ID,patch_size,test_region,val_region,train_loss,val_loss,epoch_stopped,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,dropout,lr,weight_decay,batch_size,AWEIp95
T-Har_V-Rod_31px_2026-07-23,31,Hartbeespoort,Rodman,0.2141138643137049,0.3591950660704632,19,0.85553377866745,0.8651120066642761,0.8120171427726746,0.9256359934806824,0.9338916540145874,0.915394127368927,0.91512793302536,0.9133884310722352,0.9168740510940552,0.972141683101654,0.2372777488485139,0.0050919794293056,1.033226348516265e-06,64,False
T-Har_V-Mul_31px_2026-07-23,31,Hartbeespoort,Mula,0.3679983305990276,0.6661737159067139,3,0.6505791544914246,0.4707602262496948,0.8821917772293091,0.3210368752479553,0.7891396284103394,0.8432767987251282,0.8416123390197754,0.8511502146720886,0.8322858214378357,0.9174355268478394,0.2372777488485139,0.0050919794293056,1.033226348516265e-06,64,False
T-Har_V-Inl_31px_2026-07-23,31,Hartbeespoort,Inle,0.18460651287625,0.1734794802069664,30,0.9484999775886536,0.9489340782165528,0.9410029649734496,0.9570000171661376,0.9800550937652588,0.9253928065299988,0.9258199334144592,0.9161540865898132,0.9356918334960938,0.9791455268859864,0.2372777488485139,0.0050919794293056,1.033226348516265e-06,64,False
T-Har_V-Vem_31px_2026-07-23,31,Hartbeespoort,Vembanad,0.2327590949897754,0.2751513072005757,18,0.8876124024391174,0.8829953074455261,0.9218240976333618,0.847305417060852,0.958710551261902,0.9057177901268004,0.9052422642707824,0.9052422642707824,0.9052422642707824,0.9671772718429564,0.2372777488485139,0.0050919794293056,1.033226348516265e-06,64,False
T-Har_V-Val_31px_2026-07-23,31,Hartbeespoort,Valsequillo,0.2517767563318374,0.2906033023315317,14,0.873039186000824,0.8764902353286743,0.8532962203025818,0.9009804129600524,0.9487023949623108,0.8972517848014832,0.8974717855453491,0.8912332057952881,0.903798282146454,0.9610137343406676,0.2372777488485139,0.0050919794293056,1.033226348516265e-06,64,False
T-Har_V-Raw_31px_2026-07-23,31,Hartbeespoort,RawaPening,0.3833932283973066,0.352066846220167,4,0.8676323890686035,0.877371609210968,0.8179464936256409,0.946107804775238,0.9286018013954164,0.8310160636901855,0.8286619782447815,0.8360545635223389,0.8213990330696106,0.9096311330795288,0.2372777488485139,0.0050919794293056,1.033226348516265e-06,64,False
T-Har_V-Win_31px_2026-07-23,31,Hartbeespoort,Winam,0.3191775189166321,0.4513949825446596,9,0.8004001975059509,0.8052708506584167,0.7864633202552795,0.824999988079071,0.8831301331520081,0.8657674193382263,0.8657011389732361,0.8618711829185486,0.8695651888847351,0.9376657009124756,0.2372777488485139,0.0050919794293056,1.033226348516265e-06,64,False
T-Rod_V-Har_31px_2026-07-23,31,Rodman,Hartbeespoort,0.2611726044895134,0.5230498600193835,8,0.8110235929489136,0.7793103456497192,0.9186992049217224,0.6766467094421387,0.8926767706871033,0.8959141373634338,0.8956212401390076,0.8936240673065186,0.8976273536682129,0.958499550819397,0.1684815593910434,0.0027878680764202,9.502732715496968e-06,64,False
T-Rod_V-Mul_31px_2026-07-23,31,Rodman,Mula,0.2128018271639233,0.5598653665380589,9,0.7340733408927917,0.6827864050865173,0.807901918888092,0.59122633934021,0.8285703659057617,0.9199171662330629,0.920326292514801,0.9139257073402404,0.9268171191215516,0.9718900322914124,0.1684815593910434,0.0027878680764202,9.502732715496968e-06,64,False
T-Rod_V-Inl_31px_2026-07-23,31,Rodman,Inle,0.1875085232709919,0.2237599159479141,23,0.915499985218048,0.9162122011184692,0.9085545539855956,0.9240000247955322,0.9691795110702516,0.9272248148918152,0.927278697490692,0.9198629260063172,0.9348150491714478,0.9783746004104614,0.1684815593910434,0.0027878680764202,9.502732715496968e-06,64,False
T-Rod_V-Vem_31px_2026-07-23,31,Rodman,Vembanad,0.1604357038409487,0.2687638277833635,23,0.8891108632087708,0.8834033608436584,0.932372510433197,0.8393213748931885,0.9637126326560974,0.937422811985016,0.937458872795105,0.9299591779708862,0.9450804591178894,0.9842979907989502,0.1684815593910434,0.0027878680764202,9.502732715496968e-06,64,False
T-Rod_V-Val_31px_2026-07-23,31,Rodman,Valsequillo,0.1676676518519095,0.2668812803485814,20,0.8897058963775635,0.8916707038879395,0.8760643601417542,0.9078431129455566,0.9543896317481996,0.9367308020591736,0.9367778301239014,0.9292615056037904,0.9444167017936708,0.9823590517044068,0.1684815593910434,0.0027878680764202,9.502732715496968e-06,64,False
