test_region,val_region,run_ID,patch_size,loop,epoch,train_loss,val_loss,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,AWEIp95,best_epoch
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,1,0.4880201914218945,0.6259869375028059,0.690499484539032,0.6620320677757263,0.7299528121948242,0.6056751608848572,0.765716016292572,0.7593891620635986,0.7507907748222351,0.7744268178939819,0.7285548448562622,0.8436208963394165,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,2,0.4421113633243594,0.6076298960275678,0.6567091345787048,0.5632398724555969,0.775300145149231,0.4422700703144073,0.7474377155303955,0.7988443970680237,0.7909051775932312,0.8189409971237183,0.764725387096405,0.8766177892684937,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,3,0.4023826793703322,0.605905960402456,0.7766895294189453,0.8032786846160889,0.7183641791343689,0.9109588861465454,0.8491932153701782,0.816343367099762,0.8112006783485413,0.8301493525505066,0.793097734451294,0.899655818939209,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,4,0.3731908549614992,0.5316277932116614,0.7610186338424683,0.7476732134819031,0.7927631735801697,0.7074363827705383,0.8381786942481995,0.8335947394371033,0.8302173018455505,0.8429964184761047,0.8178198337554932,0.9149131774902344,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,5,0.3545843084489222,0.4807275254625998,0.7908912897109985,0.7840161919593811,0.8115183115005493,0.7583170533180237,0.8591046333312988,0.8476269245147705,0.845574676990509,0.8527079224586487,0.8385598063468933,0.9236971139907836,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,6,0.3211816359368228,0.4570060067615826,0.806072473526001,0.8086956739425659,0.7986640930175781,0.8189823627471924,0.8766298294067383,0.8584399223327637,0.8572379946708679,0.860173761844635,0.8543221950531006,0.937431573867798,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,7,0.3057323757917292,0.4626052358591825,0.7977473139762878,0.7952404618263245,0.8060301542282104,0.7847357988357544,0.8670225143432617,0.8713165521621704,0.8707618117332458,0.8701126575469971,0.8714119791984558,0.9434587955474854,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,8,0.2941455400462393,0.4974345552582698,0.8006855845451355,0.8128735423088074,0.7666955590248108,0.8649706244468689,0.8697929382324219,0.8770945072174072,0.8765646815299988,0.8759111762046814,0.8772192001342773,0.947510540485382,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,9,0.2868210475060057,0.5196408155382438,0.8310480117797852,0.8475475311279297,0.7727639079093933,0.9383561611175536,0.8850246071815491,0.8821296095848083,0.8817489147186279,0.8801454901695251,0.8833582401275635,0.9502661228179932,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,10,0.2843133605367823,0.422417658725051,0.8290891051292419,0.8392446041107178,0.7928633689880371,0.8913894295692444,0.8986742496490479,0.8835328221321106,0.8832050561904907,0.8812355399131775,0.8851833343505859,0.9515199661254884,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,11,0.2554396829721212,0.3924935835465628,0.8379040360450745,0.8433507084846497,0.8166819214820862,0.8718199729919434,0.9077357053756714,0.8957490921020508,0.8954037427902222,0.8938491940498352,0.8969636559486389,0.9606784582138062,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,12,0.2518113352484414,0.4931227094279447,0.819294810295105,0.8397741913795471,0.7548789978027344,0.946183979511261,0.9020164012908936,0.8978126049041748,0.8976182341575623,0.8948062658309937,0.9004479646682739,0.9617491960525512,False,19.0
Hartbeespoort,Rodman,T-Har_V-Rod_31px_2026-07-23,31,inner,13,0.2442798885170507,0.3674051598458752,0.8511263728141785,0.859649121761322,0.813811182975769,0.9109588861465454,0.9245002269744872,0.9014444947242736,0.9012733697891236,0.8983023166656494,0.9042641520500184,0.9639962911605836,False,19.0
