run_ID,patch_size,test_region,val_region,train_loss,val_loss,epoch_stopped,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,dropout,lr,weight_decay,batch_size,AWEIp95
T-Har_V-Rod_15px_2026-07-22,15,Hartbeespoort,Rodman,0.1003332427185869,0.25340482043823,17,0.9314397573471068,0.9312376976013184,0.9349112510681152,0.927592933177948,0.9640027284622192,0.9684688448905944,0.9683513045310974,0.9670693278312684,0.969636619091034,0.9930107593536376,0.318428483607006,0.0064511842679594,0.0095830297305716,64,True
T-Har_V-Mul_15px_2026-07-22,15,Hartbeespoort,Mula,0.1378453542374731,0.2458195091444553,6,0.9140926599502563,0.908717930316925,0.9355860352516174,0.8833499550819397,0.9608564376831056,0.955068290233612,0.9549489617347716,0.958048939704895,0.951869010925293,0.9874318838119508,0.318428483607006,0.0064511842679594,0.0095830297305716,64,True
T-Har_V-Inl_15px_2026-07-22,15,Hartbeespoort,Inle,0.0912271422280619,0.0597795166820287,49,0.9850000143051147,0.9850746393203736,0.9801980257034302,0.9900000095367432,0.9975410103797911,0.9717857837677002,0.97175794839859,0.9680117964744568,0.975533127784729,0.9939945340156556,0.318428483607006,0.0064511842679594,0.0095830297305716,64,True
T-Har_V-Vem_15px_2026-07-22,15,Hartbeespoort,Vembanad,0.1069654942466025,0.093432571776174,23,0.9715284705162048,0.9715426564216614,0.9720279574394226,0.9710578918457032,0.9933573007583618,0.9638831615447998,0.963775873184204,0.9617918133735656,0.9657681584358216,0.992313027381897,0.318428483607006,0.0064511842679594,0.0095830297305716,64,True
T-Har_V-Val_15px_2026-07-22,15,Hartbeespoort,Valsequillo,0.1389603691053063,0.1619942767362968,6,0.9465686082839966,0.9474192261695862,0.9325736165046692,0.9627450704574584,0.988788902759552,0.955021858215332,0.9548803567886353,0.9532231688499452,0.9565433859825134,0.986881136894226,0.318428483607006,0.0064511842679594,0.0095830297305716,64,True
T-Har_V-Raw_15px_2026-07-22,15,Hartbeespoort,RawaPening,0.107475163595439,0.0931707546375431,18,0.9715284705162048,0.9721271395683287,0.95302015542984,0.9920159578323364,0.996112823486328,0.9644590616226196,0.9643505811691284,0.9624444246292114,0.9662642478942872,0.991916298866272,0.318428483607006,0.0064511842679594,0.0095830297305716,64,True
T-Har_V-Win_15px_2026-07-22,15,Hartbeespoort,Winam,0.0956662716829653,0.1594451023051408,39,0.9584792256355286,0.959173619747162,0.9438528418540956,0.975000023841858,0.9763193130493164,0.969814121723175,0.9697369337081908,0.9674234986305236,0.9720615148544312,0.9935123920440674,0.318428483607006,0.0064511842679594,0.0095830297305716,64,True
T-Rod_V-Har_15px_2026-07-22,15,Rodman,Hartbeespoort,0.0872195963064009,0.2039193879724956,6,0.8946850299835205,0.8826754093170166,0.9793187379837036,0.8033931851387024,0.9913842678070068,0.971275269985199,0.9711586236953736,0.9701937437057496,0.9721254110336304,0.9943944811820984,0.2970140771198056,0.0002903070147359,5.204950412995212e-06,64,True
T-Rod_V-Mul_15px_2026-07-22,15,Rodman,Mula,0.0466206042221737,0.228539627045393,13,0.9126448035240172,0.9079816937446594,0.9263485670089722,0.8903290033340454,0.9699227809906006,0.9855072498321532,0.9854879975318908,0.9849162697792052,0.986060380935669,0.9983059167861938,0.2970140771198056,0.0002903070147359,5.204950412995212e-06,64,True
T-Rod_V-Inl_15px_2026-07-22,15,Rodman,Inle,0.0562086937049097,0.0735163802932947,17,0.9725000262260436,0.9727857708930968,0.9627816081047058,0.9829999804496764,0.9966509342193604,0.9811475872993468,0.9810383319854736,0.9794973731040956,0.9825841784477234,0.9978713989257812,0.2970140771198056,0.0002903070147359,5.204950412995212e-06,64,True
