test_region,val_region,run_ID,patch_size,loop,epoch,train_loss,val_loss,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,AWEIp95,best_epoch
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,1,0.3248613070196914,1.0758310516130445,0.7022526860237122,0.636798083782196,0.8174846768379211,0.5215263962745667,0.7658742666244507,0.8650433421134949,0.860791802406311,0.8840503692626953,0.838725745677948,0.9347804188728333,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,2,0.2261202507302183,0.6824699662457951,0.6885406374931335,0.552742600440979,0.9825000166893004,0.3845401108264923,0.8447805643081665,0.9195212721824646,0.918457806110382,0.925969660282135,0.9110668897628784,0.9688812494277954,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,3,0.1822639399196213,0.5888400104090236,0.8207639455795288,0.820588231086731,0.8222004175186157,0.8189823627471924,0.8656737804412842,0.9370202422142028,0.9364113807678224,0.9407233595848083,0.9321386814117432,0.9794694185256958,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,4,0.1666779369669318,1.017317366354846,0.6390793323516846,0.4528582096099853,0.9384615421295166,0.2984344363212585,0.8925338983535767,0.9460998773574828,0.9457595944404602,0.9469394683837892,0.94458270072937,0.982160210609436,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,5,0.156015091136965,0.3722194217211119,0.8966699242591858,0.8970229625701904,0.894839346408844,0.8992172479629517,0.92982280254364,0.9498968124389648,0.949446141719818,0.953177273273468,0.9457441568374634,0.9834973812103271,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,6,0.1279230978805764,0.510509390788961,0.7727717757225037,0.7107232213020325,0.9793814420700072,0.557729959487915,0.96441912651062,0.9595542550086976,0.95932936668396,0.9598073363304138,0.9588518142700196,0.9884446263313292,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,7,0.1373204920436299,0.3425553321663243,0.8731635808944702,0.865174412727356,0.9243603944778442,0.8131115436553955,0.9464410543441772,0.9565827250480652,0.9562031626701356,0.959719181060791,0.9527127742767334,0.987158179283142,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,8,0.1283378880334156,0.386242459499871,0.8300685882568359,0.8096544146537781,0.9213483333587646,0.7221134901046753,0.95647132396698,0.958728849887848,0.9584924578666688,0.9591294527053832,0.957856297492981,0.9886776208877563,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,9,0.1273165821549423,0.424076787492554,0.8751224279403687,0.8751835823059082,0.8756121397018433,0.8747553825378418,0.9360908269882202,0.9584811925888062,0.9582746028900146,0.9581950902938844,0.9583540558815002,0.9887176752090454,True,17.0
Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-22,15,inner,10,0.1221328008681646,0.4966576619841793,0.8197845220565796,0.8012958765029907,0.8939759135246277,0.7260273694992065,0.9378726482391356,0.9610400199890136,0.9607908129692078,0.9620695114135742,0.9595155119895936,0.9892832040786744,True,17.0
