,run_ID,patch_size,test_region,val_region,train_loss,val_loss,epoch_stopped,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc,dropout,lr,weight_decay,batch_size
0,T-Har_V-Rod_15px_2026-07-21,15,Hartbeespoort,Rodman,0.1315841375576087,0.3006621422893737,14,0.9020568132400513,0.9060150384902954,0.8716093897819519,0.9432485103607178,0.9473667740821838,0.9535287022590637,0.9534672498703003,0.9499341249465942,0.9570267200469971,0.9882414937019348,0.10645289522584067,0.0038652006268875437,0.008538791114417188,64
1,T-Har_V-Mul_15px_2026-07-21,15,Hartbeespoort,Mula,0.14306259767873306,0.31746524008544713,8,0.8711389899253845,0.8620154857635498,0.8948497772216797,0.8315054774284363,0.9511064291000366,0.9501861929893494,0.950590968132019,0.9434669017791748,0.9578233361244202,0.9866188168525696,0.10645289522584067,0.0038652006268875437,0.008538791114417188,64
2,T-Har_V-Inl_15px_2026-07-21,15,Hartbeespoort,Inle,0.10301706186542682,0.09113298770040273,29,0.972000002861023,0.9720559120178223,0.9701195359230042,0.9739999771118164,0.991847038269043,0.9634778499603271,0.9635048508644104,0.9581494331359863,0.9689204692840576,0.9930812120437622,0.10645289522584067,0.0038652006268875437,0.008538791114417188,64
3,T-Har_V-Vem_15px_2026-07-21,15,Hartbeespoort,Vembanad,0.12534204352078543,0.10200341617489432,19,0.969530463218689,0.9696668386459351,0.966303288936615,0.9730538725852966,0.9934271574020386,0.9534348249435425,0.9535608887672424,0.9462628364562988,0.9609723687171936,0.9900827407836914,0.10645289522584067,0.0038652006268875437,0.008538791114417188,64
4,T-Har_V-Val_15px_2026-07-21,15,Hartbeespoort,Valsequillo,0.12810448004785835,0.14539085591540618,17,0.9480392336845398,0.9478346705436707,0.9515810012817383,0.9441176652908325,0.9863831400871277,0.9551869034767151,0.9552386403083801,0.9495247602462769,0.9610217213630676,0.9894624948501587,0.10645289522584067,0.0038652006268875437,0.008538791114417188,64
5,T-Har_V-Raw_15px_2026-07-21,15,Hartbeespoort,RawaPening,0.12008908024262323,0.12448503096382339,19,0.9590409398078918,0.9592039585113525,0.9563491940498352,0.9620758295059204,0.9887166023254395,0.9568079113960266,0.956786572933197,0.9524745941162109,0.9611377716064453,0.9907479286193848,0.10645289522584067,0.0038652006268875437,0.008538791114417188,64
6,T-Har_V-Win_15px_2026-07-21,15,Hartbeespoort,Winam,0.1383057137224152,0.2806081683675443,12,0.8934467434883118,0.8942928314208984,0.88768470287323,0.9010000228881836,0.9487076997756958,0.9511432647705078,0.9512875080108643,0.9438567757606506,0.9588361978530884,0.9874435663223267,0.10645289522584067,0.0038652006268875437,0.008538791114417188,64
7,T-Rod_V-Har_15px_2026-07-21,15,Rodman,Hartbeespoort,0.11081500756982876,0.16342826020412557,9,0.9453740119934082,0.943911075592041,0.9559876918792725,0.9321357011795044,0.9819602966308594,0.960297167301178,0.9602051973342896,0.9575907588005066,0.9628339409828186,0.9915532469749451,0.10645347278027038,0.0002414098840062012,2.9319452079141204e-05,64
8,T-Rod_V-Mul_15px_2026-07-21,15,Rodman,Mula,0.07758398377994079,0.34795938052495934,10,0.8542470932006836,0.8386752009391785,0.9033371806144714,0.7826520204544067,0.9435827732086182,0.9733333587646484,0.973357617855072,0.9706270694732666,0.9761035442352295,0.9954792261123657,0.10645347278027038,0.0002414098840062012,2.9319452079141204e-05,64
9,T-Rod_V-Inl_15px_2026-07-21,15,Rodman,Inle,0.08731618677798422,0.12035244072228671,16,0.9495000243186951,0.9502708315849304,0.9359844923019409,0.9649999737739563,0.9917210340499878,0.9684695601463318,0.9684435725212097,0.9621807336807251,0.9747885465621948,0.9948188662528992,0.10645347278027038,0.0002414098840062012,2.9319452079141204e-05,64
10,T-Rod_V-Vem_15px_2026-07-21,15,Rodman,Vembanad,0.10238712850655976,0.09970312741967467,12,0.9705294966697693,0.9706613421440125,0.9672943353652954,0.9740518927574158,0.992895245552063,0.9645121693611145,0.9643713235855103,0.9609555006027222,0.9678115248680115,0.992718517780304,0.10645347278027038,0.0002414098840062012,2.9319452079141204e-05,64
11,T-Rod_V-Val_15px_2026-07-21,15,Rodman,Valsequillo,0.11660732178366272,0.12343388230485075,6,0.9524509906768799,0.9535217881202698,0.9325211048126221,0.9754902124404907,0.9899817705154419,0.9568844437599182,0.9567880630493164,0.9519025087356567,0.9617241024971008,0.9910978078842163,0.10645347278027038,0.0002414098840062012,2.9319452079141204e-05,64
12,T-Rod_V-Raw_15px_2026-07-21,15,Rodman,RawaPening,0.07648606223670383,0.10601939684474147,22,0.9650349617004395,0.9655850529670715,0.9515503644943237,0.9800398945808411,0.9912225008010864,0.9731577038764954,0.9730221629142761,0.9706125259399414,0.9754438400268555,0.9959920644760132,0.10645347278027038,0.0002414098840062012,2.9319452079141204e-05,64
13,T-Rod_V-Win_15px_2026-07-21,15,Rodman,Winam,0.16251689180422663,0.32423431811860765,3,0.8794397115707397,0.8844124674797058,0.8497695922851562,0.921999990940094,0.9451702237129211,0.9432828426361084,0.9428452849388123,0.9430800080299377,0.9426107406616211,0.9835416078567505,0.10645347278027038,0.0002414098840062012,2.9319452079141204e-05,64
14,T-Mul_V-Har_15px_2026-07-21,15,Mula,Hartbeespoort,0.14483885172851627,0.1525765200270208,3,0.9424212574958801,0.9397838115692139,0.9702444076538086,0.9111776351928711,0.9869794845581055,0.9466280341148376,0.946882963180542,0.9429227709770203,0.9508765935897827,0.9863448143005371,0.397780892214314,0.0012123634441485443,0.0011762617934974458,64
