,test_region,val_region,run_ID,patch_size,loop,epoch,train_loss,val_loss,val_accuracy,val_f1,val_precision,val_recall,val_auroc,train_accuracy,train_f1,train_precision,train_recall,train_auroc
0,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,1,0.34166663214656573,0.9339201802371414,0.6723800301551819,0.7489681243896484,0.6074254512786865,0.976516604423523,0.8040347695350647,0.8543128371238708,0.8514184951782227,0.8641490340232849,0.8390575647354126,0.9291943311691284
1,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,2,0.2515531768643359,0.42686698678424845,0.8330068588256836,0.828384518623352,0.8528497219085693,0.805283784866333,0.8913050293922424,0.9057366847991943,0.9051021933555603,0.9066089391708374,0.9036004543304443,0.9618639945983887
2,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,3,0.2213676419132168,0.527313623646681,0.7492654323577881,0.710734486579895,0.8409090638160706,0.6154598593711853,0.8499894738197327,0.9201815724372864,0.9198508262634277,0.9190129041671753,0.9206902384757996,0.9695988893508911
3,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,4,0.19573833838388097,0.697392508548107,0.7389813661575317,0.6775559782981873,0.8874801993370056,0.5479452013969421,0.8568099737167358,0.9304168224334717,0.9300937056541443,0.9297082424163818,0.9304795265197754,0.975728452205658
4,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,5,0.19070952009598774,0.35239180832021266,0.887855052947998,0.8958617448806763,0.8368734121322632,0.9637964963912964,0.9562584161758423,0.933140754699707,0.9329692125320435,0.930658757686615,0.9352911710739136,0.976510226726532
5,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,6,0.16046427732292798,0.343335580989266,0.8741430044174194,0.8789448738098145,0.8474114537239075,0.912915825843811,0.9203484654426575,0.942302942276001,0.9422075152397156,0.9390243887901306,0.9454123377799988,0.9837907552719116
6,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,7,0.15553727320376576,0.3543465043783888,0.8785504698753357,0.8832391500473022,0.8511796593666077,0.9178082346916199,0.9372807741165161,0.945769727230072,0.9457069635391235,0.9420480728149414,0.9493944048881531,0.9842298030853271
7,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,8,0.15559985261538084,0.44541183525621597,0.8232125639915466,0.8204873204231262,0.8341759443283081,0.8072407245635986,0.9091362357139587,0.9450268149375916,0.94514000415802,0.9384917616844177,0.9518831968307495,0.983786940574646
8,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,9,0.1647889820156981,0.5148659570910672,0.8442703485488892,0.8465250730514526,0.8352380990982056,0.8581213355064392,0.8680068254470825,0.9437887072563171,0.9436771273612976,0.9407981634140015,0.9465737342834473,0.9820771217346191
9,Hartbeespoort,Rodman,T-Har_V-Rod_15px_2026-07-21,15,inner,10,0.15308625244228397,0.6738970301585613,0.8197845220565796,0.8247619271278381,0.8033395409584045,0.8473581075668335,0.8652310371398926,0.9453570246696472,0.9452621340751648,0.9421460628509521,0.9483988881111145,0.9843817949295044
